% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 6 2026, 12:22"
% Table,Table 12 - Global Evaluation 2
% light_on,use_scan,Time (s),Average terminal current density (mA/cm^2)
0,0,0,-2.445256057834137E-8
0,0,9.999999999999999E-5,-2.4263474861489946E-8
0,0,1.9999999999999998E-4,-2.4263700912580782E-8
0,0,3.0E-4,-2.4263623874966883E-8
0,0,3.9999999999999996E-4,-2.426370037474998E-8
0,0,5.0E-4,-2.4263699672779547E-8
0,0,6.0E-4,-2.4263700278632608E-8
0,0,6.999999999999999E-4,-2.4263699650593E-8
0,0,7.999999999999999E-4,-2.4263700294973938E-8
0,0,9.0E-4,-2.4263699655865517E-8
0,0,0.001,-8.728737222667936
0,0,0.0010999999999999998,-9.159402690675167E-5
0,0,0.0012,-9.326893855383525E-5
0,0,0.0013,-9.503952009263928E-5
0,0,0.0013999999999999998,-9.667699502585356E-5
0,0,0.0014999999999999998,-9.823682633610601E-5
0,0,0.0015999999999999999,-9.980705526313999E-5
0,0,0.0017,-1.0119495769589337E-4
0,0,0.0018,-1.0266397129520878E-4
0,0,0.0018999999999999998,-1.0378843537988089E-4
0,0,0.002,-1.0508552240725694E-4
0,0,0.0021,-1.0614204636886654E-4
0,0,0.0021999999999999997,-1.0706893338061207E-4
0,0,0.0023,-1.079694758428937E-4
0,0,0.0024,-1.087993047109659E-4
0,0,0.0024999999999999996,-1.0962566926934416E-4
0,0,0.0026,-1.1038824993332729E-4
0,0,0.0026999999999999997,-1.1099485103863811E-4
0,0,0.0027999999999999995,-1.1147389284832947E-4
0,0,0.0029,-1.1197442455351517E-4
0,0,0.0029999999999999996,-1.1235294398664429E-4
0,0,0.0031,-1.126967982449484E-4
0,0,0.0031999999999999997,-1.1298658093804701E-4
0,0,0.0032999999999999995,-1.1329785420410035E-4
0,0,0.0034,-1.1356267717061878E-4
0,0,0.0034999999999999996,-1.1369162264532617E-4
0,0,0.0036,-1.138517654011893E-4
0,0,0.0036999999999999997,-1.1393079631044914E-4
0,0,0.0037999999999999996,-1.1393565036340983E-4
0,0,0.0039,-1.1398902989789698E-4
0,0,0.004,-1.1394535461812333E-4
0,0,0.0040999999999999995,-1.140243866366784E-4
0,0,0.0042,-1.139391137810277E-4
0,0,0.0043,-1.1378105268230986E-4
0,0,0.004399999999999999,-1.1375886781890267E-4
0,0,0.0045,-1.1368122090799917E-4
0,0,0.0046,-1.1361466994703023E-4
0,0,0.004699999999999999,-1.1348156239162412E-4
0,0,0.0048,-1.1320633950569741E-4
0,0,0.0049,-1.1310165919616899E-4
0,0,0.004999999999999999,-1.1294428735655418E-4
